n,j,u[n][j],exact,error
13,2,0.836755,0.836535,0.026253
13,3,0.783922,0.783716,0.026253
13,4,0.711786,0.711599,0.026253
13,5,0.622124,0.621961,0.026253
13,6,0.517143,0.517007,0.026253
13,7,0.399428,0.399323,0.026253
13,8,0.271878,0.271807,0.026253
13,9,0.137634,0.137597,0.026253
13,10,0.000000,0.000000,1.#INF00
14,0,0.871193,0.870947,0.028272
14,1,0.860467,0.860224,0.028272
14,2,0.828554,0.828320,0.028272
14,3,0.776239,0.776019,0.028272
14,4,0.704810,0.704611,0.028272
14,5,0.616027,0.615852,0.028272
14,6,0.512074,0.511930,0.028272
14,7,0.395513,0.395402,0.028272
14,8,0.269213,0.269137,0.028272
14,9,0.136285,0.136246,0.028272
14,10,0.000000,0.000000,1.#INF00
15,0,0.862654,0.862393,0.030291
15,1,0.852034,0.851776,0.030291
15,2,0.820433,0.820185,0.030291
15,3,0.768631,0.768398,0.030291
15,4,0.697902,0.697691,0.030291
15,5,0.609989,0.609804,0.030291
15,6,0.507056,0.506902,0.030291
15,7,0.391637,0.391518,0.030291
15,8,0.266575,0.266494,0.030291
15,9,0.134949,0.134908,0.030291
15,10,0.000000,0.000000,1.#INF00
16,0,0.854199,0.853923,0.032310
16,1,0.843683,0.843410,0.032310
16,2,0.812392,0.812130,0.032310
16,3,0.761097,0.760851,0.032310
16,4,0.691062,0.690839,0.032310
16,5,0.604010,0.603815,0.032310
16,6,0.502086,0.501924,0.032310
16,7,0.387798,0.387673,0.032310
16,8,0.263962,0.263877,0.032310
16,9,0.133626,0.133583,0.032310
16,10,0.000000,0.000000,1.#INF00
17,0,0.845827,0.845537,0.034329
17,1,0.835414,0.835127,0.034329
17,2,0.804430,0.804154,0.034329
17,3,0.753638,0.753379,0.034329
17,4,0.684289,0.684054,0.034329
17,5,0.598090,0.597885,0.034329
17,6,0.497165,0.496994,0.034329
17,7,0.383998,0.383866,0.034329
17,8,0.261375,0.261285,0.034329
17,9,0.132317,0.132271,0.034329
17,10,0.000000,0.000000,1.#INF00
18,0,0.837537,0.837233,0.036348
18,1,0.827226,0.826925,0.036348
18,2,0.796545,0.796256,0.036348
