n,j,u[n][j],exact,error
13,2,0.837280,0.836535,0.088965
13,3,0.784414,0.783716,0.088965
13,4,0.712233,0.711599,0.088965
13,5,0.622514,0.621961,0.088965
13,6,0.517468,0.517007,0.088965
13,7,0.399679,0.399323,0.088965
13,8,0.272049,0.271807,0.088965
13,9,0.137720,0.137597,0.088965
13,10,0.000000,0.000000,1.#INF00
14,0,0.871782,0.870947,0.095806
14,1,0.861049,0.860224,0.095806
14,2,0.829114,0.828320,0.095806
14,3,0.776763,0.776019,0.095806
14,4,0.705286,0.704611,0.095806
14,5,0.616443,0.615852,0.095806
14,6,0.512421,0.511930,0.095806
14,7,0.395781,0.395402,0.095806
14,8,0.269395,0.269137,0.095806
14,9,0.136377,0.136246,0.095806
14,10,0.000000,0.000000,1.#INF00
15,0,0.863279,0.862393,0.102645
15,1,0.852651,0.851776,0.102645
15,2,0.821027,0.820185,0.102645
15,3,0.769187,0.768398,0.102645
15,4,0.698408,0.697691,0.102645
15,5,0.610431,0.609804,0.102645
15,6,0.507423,0.506902,0.102645
15,7,0.391921,0.391518,0.102645
15,8,0.266768,0.266494,0.102645
15,9,0.135047,0.134908,0.102645
15,10,0.000000,0.000000,1.#INF00
16,0,0.854859,0.853923,0.109485
16,1,0.844335,0.843410,0.109485
16,2,0.813020,0.812130,0.109485
16,3,0.761685,0.760851,0.109485
16,4,0.691596,0.690839,0.109485
16,5,0.604477,0.603815,0.109485
16,6,0.502474,0.501924,0.109485
16,7,0.388098,0.387673,0.109485
16,8,0.264166,0.263877,0.109485
16,9,0.133729,0.133583,0.109485
16,10,0.000000,0.000000,1.#INF00
17,0,0.846522,0.845537,0.116323
17,1,0.836100,0.835127,0.116323
17,2,0.805090,0.804154,0.116323
17,3,0.754256,0.753379,0.116323
17,4,0.684850,0.684054,0.116323
17,5,0.598581,0.597885,0.116323
17,6,0.497573,0.496994,0.116323
17,7,0.384313,0.383866,0.116323
17,8,0.261590,0.261285,0.116323
17,9,0.132425,0.132271,0.116323
17,10,0.000000,0.000000,1.#INF00
18,0,0.838265,0.837233,0.123162
18,1,0.827945,0.826925,0.123162
18,2,0.797238,0.796256,0.123162
18,3,0.746900,0.745980,0.123162
18,4,0.678171,0.677336,0.123162
18,5,0.592743,0.592013,0.123162
18,6,0.492720,0.492113,0.123162
18,7,0.380565,0.380096,0.123162
18,8,0.259038,0.258719,0.123162
18,9,0.131134,0.130972,0.123162
18,10,0.000000,0.000000,1.#INF00
19,0,0.830090,0.829010,0.130000
19,1,0.819870,0.818804,0.130000
19,2,0.789462,0.788436,0.130000
19,3,0.739615,0.738654,0.130000
19,4,0.671557,0.670684,0.130000
19,5,0.586962,0.586199,0.130000
19,6,0.487914,0.487280,0.130000
19,7,0.376853,0.376363,0.130000
19,8,0.256512,0.256178,0.130000
19,9,0.129855,0.129686,0.130000
19,10,0.000000,0.000000,1.#INF00
20,0,0.821994,0.820869,0.136837
20,1,0.811873,0.810762,0.136837
20,2,0.781762,0.780693,0.136837
20,3,0.732402,0.731399,0.136837
20,4,0.665007,0.664097,0.136837
20,5,0.581237,0.580442,0.136837
20,6,0.483156,0.482495,0.136837
20,7,0.373177,0.372667,0.136837
20,8,0.254010,0.253662,0.136837
20,9,0.128588,0.128412,0.136837
20,10,0.000000,0.000000,1.#INF00
21,0,0.813976,0.812807,0.143674
21,1,0.803955,0.802800,0.143674
21,2,0.774138,0.773025,0.143674
21,3,0.725258,0.724216,0.143674
21,4,0.658521,0.657575,0.143674
21,5,0.575568,0.574741,0.143674
21,6,0.478443,0.477756,0.143674
21,7,0.369538,0.369007,0.143674
21,8,0.251533,0.251171,0.143674
21,9,0.127334,0.127151,0.143674
21,10,0.000000,0.000000,1.#INF00
22,0,0.806037,0.804824,0.150510
22,1,0.796114,0.794916,0.150510
22,2,0.766587,0.765433,0.150510
22,3,0.718185,0.717104,0.150510
22,4,0.652098,0.651117,0.150510
22,5,0.569955,0.569097,0.150510
22,6,0.473777,0.473064,0.150510
22,7,0.365933,0.365383,0.150510
22,8,0.249079,0.248704,0.150510
22,9,0.126092,0.125902,0.150510
22,10,0.000000,0.000000,1.#INF00
23,0,0.798176,0.796920,0.157346
23,1,0.788349,0.787109,0.157346
23,2,0.759110,0.757916,0.157346
23,3,0.711180,0.710061,0.157346
23,4,0.645738,0.644722,0.157346
23,5,0.564396,0.563508,0.157346
23,6,0.469156,0.468418,0.157346
23,7,0.362364,0.361794,0.157346
23,8,0.246650,0.246262,0.157346
23,9,0.124862,0.124666,0.157346
23,10,0.000000,0.000000,1.#INF00
24,0,0.790391,0.789093,0.164182
24,1,0.780660,0.779378,0.164182
24,2,0.751707,0.750472,0.164182
24,3,0.704244,0.703087,0.164182
24,4,0.639440,0.638390,0.164182
24,5,0.558891,0.557973,0.164182
24,6,0.464580,0.463818,0.164182
24,7,0.358830,0.358241,0.164182
24,8,0.244244,0.243843,0.164182
24,9,0.123644,0.123441,0.164182
24,10,0.000000,0.000000,1.#INF00
