n,j,u[n][j],exact,error
13,3,0.542832,0.783716,44.375334
13,4,0.608082,0.711599,17.023557
13,5,0.624211,0.621961,0.360440
13,6,0.586381,0.517007,11.830900
13,7,0.495618,0.399323,19.429159
13,8,0.358904,0.271807,24.267466
13,9,0.188393,0.137597,26.962633
13,10,0.000000,0.000000,0.000000
14,0,0.153086,0.870947,468.926669
14,1,0.298437,0.860224,188.242915
14,2,0.426804,0.828320,94.075086
14,3,0.527334,0.776019,47.158843
14,4,0.589120,0.704611,19.603916
14,5,0.603501,0.615852,2.046673
14,6,0.566106,0.511930,9.570076
14,7,0.478025,0.395402,17.284327
14,8,0.345962,0.269137,22.206003
14,9,0.181543,0.136246,24.951167
14,10,0.000000,0.000000,0.000000
15,0,0.149819,0.862393,475.623853
15,1,0.291470,0.851776,192.234373
15,2,0.415703,0.820185,97.300422
15,3,0.512186,0.768398,50.023158
15,4,0.570798,0.697691,22.230668
15,5,0.583606,0.609804,4.488933
15,6,0.546678,0.506902,7.276024
15,7,0.461180,0.391518,15.105166
15,8,0.333571,0.266494,20.108670
15,9,0.174984,0.134908,22.902749
15,10,0.000000,0.000000,0.000000
16,0,0.146432,0.853923,483.154424
16,1,0.284396,0.843410,196.562018
16,2,0.404675,0.812130,100.686966
16,3,0.497382,0.760851,52.971244
16,4,0.553079,0.690839,24.907833
16,5,0.564476,0.603815,6.969098
16,6,0.528048,0.501924,4.947417
16,7,0.445046,0.387673,12.891356
16,8,0.321706,0.263877,17.975719
16,9,0.168704,0.133583,20.817903
16,10,0.000000,0.000000,0.000000
17,0,0.142966,0.845537,491.424921
17,1,0.277268,0.835127,201.198630
17,2,0.393750,0.804154,104.229659
17,3,0.482919,0.753379,56.005408
17,4,0.535929,0.684054,27.638932
17,5,0.546065,0.597885,9.489811
17,6,0.510171,0.496994,2.582802
17,7,0.429584,0.383866,10.642364
17,8,0.310342,0.261285,15.807187
17,9,0.162689,0.132271,18.696955
17,10,0.000000,0.000000,0.000000
18,0,0.139454,0.837233,500.364201
18,1,0.270129,0.826925,206.122807
18,2,0.382955,0.796256,107.924251
18,3,0.468794,0.745980,59.127509
18,4,0.519321,0.677336,30.427075
18,5,0.528330,0.592013,12.053599
18,6,0.493004,0.492113,0.180634
18,7,0.414759,0.380096,8.357474
18,8,0.299454,0.258719,13.602905
18,9,0.156928,0.130972,16.540032
18,10,0.000000,0.000000,0.000000
19,0,0.135922,0.829010,509.917488
19,1,0.263012,0.818804,211.317660
19,2,0.372312,0.788436,111.767246
19,3,0.455007,0.738654,62.339112
19,4,0.503233,0.670684,33.275040
19,5,0.511237,0.586199,14.662867
19,6,0.476508,0.487280,2.260692
19,7,0.400539,0.376363,6.035810
19,8,0.289018,0.256178,11.362511
19,9,0.151408,0.129686,14.347060
19,10,0.000000,0.000000,0.000000
20,0,0.132389,0.820869,520.042244
20,1,0.255947,0.810762,216.769844
20,2,0.361841,0.780693,115.755839
20,3,0.441555,0.731399,65.641595
20,4,0.487642,0.664097,36.185338
20,5,0.494751,0.580442,17.319909
20,6,0.460647,0.482495,4.742825
20,7,0.386890,0.372667,3.676361
20,8,0.279012,0.253662,9.085466
20,9,0.146118,0.128412,12.117777
20,10,0.000000,0.000000,0.000000
21,0,0.128873,0.812807,530.705248
21,1,0.248954,0.802800,222.468827
21,2,0.351554,0.773025,119.887845
21,3,0.428438,0.724216,69.036226
21,4,0.472530,0.657575,39.160273
21,5,0.478844,0.574741,20.026920
21,6,0.445388,0.477756,7.267441
21,7,0.373784,0.369007,1.278004
21,8,0.269413,0.251171,6.771071
21,9,0.141047,0.127151,9.851739
21,10,0.000000,0.000000,0.000000
22,0,0.125385,0.804824,541.880483
22,1,0.242052,0.794916,228.406334
22,2,0.341465,0.765433,124.161625
22,3,0.415654,0.717104,72.524221
22,4,0.457881,0.651117,42.201985
22,5,0.463487,0.569097,22.786003
22,6,0.430699,0.473064,9.836230
22,7,0.361191,0.365383,1.160484
22,8,0.260201,0.248704,4.418485
22,9,0.136182,0.125902,7.548340
22,10,0.000000,0.000000,0.000000
23,0,0.121938,0.796920,553.547590
23,1,0.235256,0.787109,234.575925
23,2,0.331582,0.757916,128.576033
23,3,0.403199,0.710061,76.106782
23,4,0.443680,0.644722,45.312490
