n,j,u[n][j],exact,error
14,6,0.511725,0.511930,0.039976
14,7,0.395244,0.395402,0.039976
14,8,0.269030,0.269137,0.039976
14,9,0.136192,0.136246,0.039976
15,0,0.862024,0.862393,0.042832
15,1,0.851411,0.851776,0.042832
15,2,0.819833,0.820185,0.042832
15,3,0.768069,0.768398,0.042832
15,4,0.697392,0.697691,0.042832
15,5,0.609543,0.609804,0.042832
15,6,0.506685,0.506902,0.042832
15,7,0.391351,0.391518,0.042832
15,8,0.266380,0.266494,0.042832
15,9,0.134850,0.134908,0.042832
16,0,0.853534,0.853923,0.045688
16,1,0.843025,0.843410,0.045688
16,2,0.811759,0.812130,0.045688
16,3,0.760504,0.760851,0.045688
16,4,0.690523,0.690839,0.045688
16,5,0.603539,0.603815,0.045688
16,6,0.501694,0.501924,0.045688
16,7,0.387496,0.387673,0.045688
16,8,0.263756,0.263877,0.045688
16,9,0.133522,0.133583,0.045688
17,0,0.845127,0.845537,0.048544
17,1,0.834722,0.835127,0.048544
17,2,0.803763,0.804154,0.048544
17,3,0.753013,0.753379,0.048544
17,4,0.683722,0.684054,0.048544
17,5,0.597595,0.597885,0.048544
17,6,0.496753,0.496994,0.048544
17,7,0.383680,0.383866,0.048544
17,8,0.261159,0.261285,0.048544
17,9,0.132207,0.132271,0.048544
18,0,0.836803,0.837233,0.051401
18,1,0.826500,0.826925,0.051401
18,2,0.795847,0.796256,0.051401
18,3,0.745597,0.745980,0.051401
18,4,0.676988,0.677336,0.051401
18,5,0.591709,0.592013,0.051401
18,6,0.491860,0.492113,0.051401
18,7,0.379901,0.380096,0.051401
18,8,0.258586,0.258719,0.051401
18,9,0.130905,0.130972,0.051401
19,0,0.828561,0.829010,0.054257
19,1,0.818360,0.818804,0.054257
19,2,0.788008,0.788436,0.054257
19,3,0.738253,0.738654,0.054257
19,4,0.670320,0.670684,0.054257
19,5,0.585881,0.586199,0.054257
19,6,0.487016,0.487280,0.054257
19,7,0.376159,0.376363,0.054257
19,8,0.256039,0.256178,0.054257
19,9,0.129615,0.129686,0.054257
20,0,0.820400,0.820869,0.057114
20,1,0.810300,0.810762,0.057114
20,2,0.780247,0.780693,0.057114
20,3,0.730982,0.731399,0.057114
20,4,0.663718,0.664097,0.057114
20,5,0.580111,0.580442,0.057114
20,6,0.482219,0.482495,0.057114
20,7,0.372454,0.372667,0.057114
20,8,0.253518,0.253662,0.057114
20,9,0.128339,0.128412,0.057114
21,0,0.812320,0.812807,0.059970
21,1,0.802319,0.802800,0.059970
21,2,0.772562,0.773025,0.059970
21,3,0.723782,0.724216,0.059970
21,4,0.657180,0.657575,0.059970
21,5,0.574397,0.574741,0.059970
21,6,0.477470,0.477756,0.059970
21,7,0.368785,0.369007,0.059970
21,8,0.251021,0.251171,0.059970
21,9,0.127075,0.127151,0.059970
