n,j,u[n][j],exact,error
14,6,0.543694,0.547234,0.651058
14,7,0.462494,0.465505,0.651058
14,8,0.336021,0.338209,0.651058
14,9,0.176657,0.177807,0.651058
15,0,0.000000,0.000000,0.000000
15,1,0.169740,0.170924,0.697724
15,2,0.322864,0.325117,0.697724
15,3,0.444385,0.447485,0.697724
15,4,0.522406,0.526051,0.697724
15,5,0.549290,0.553122,0.697724
15,6,0.522406,0.526051,0.697724
15,7,0.444385,0.447485,0.697724
15,8,0.322864,0.325117,0.697724
15,9,0.169740,0.170924,0.697724
16,0,0.000000,0.000000,0.000000
16,1,0.163094,0.164308,0.744412
16,2,0.310223,0.312532,0.744412
16,3,0.426985,0.430163,0.744412
16,4,0.501951,0.505687,0.744412
16,5,0.527782,0.531711,0.744412
16,6,0.501951,0.505687,0.744412
16,7,0.426985,0.430163,0.744412
16,8,0.310223,0.312532,0.744412
16,9,0.163094,0.164308,0.744412
17,0,0.000000,0.000000,0.000000
17,1,0.156708,0.157948,0.791121
17,2,0.298076,0.300434,0.791121
17,3,0.410266,0.413512,0.791121
17,4,0.482297,0.486113,0.791121
17,5,0.507117,0.511129,0.791121
17,6,0.482297,0.486113,0.791121
17,7,0.410266,0.413512,0.791121
17,8,0.298076,0.300434,0.791121
17,9,0.156708,0.157948,0.791121
18,0,0.000000,0.000000,0.000000
18,1,0.150572,0.151834,0.837852
18,2,0.286405,0.288805,0.837852
18,3,0.394203,0.397505,0.837852
18,4,0.463413,0.467296,0.837852
18,5,0.487261,0.491344,0.837852
18,6,0.463413,0.467296,0.837852
18,7,0.394203,0.397505,0.837852
18,8,0.286405,0.288805,0.837852
18,9,0.150572,0.151834,0.837852
19,0,0.000000,0.000000,0.000000
19,1,0.144676,0.145956,0.884604
19,2,0.275191,0.277625,0.884604
19,3,0.378768,0.382118,0.884604
19,4,0.445268,0.449207,0.884604
19,5,0.468183,0.472324,0.884604
19,6,0.445268,0.449207,0.884604
19,7,0.378768,0.382118,0.884604
19,8,0.275191,0.277625,0.884604
19,9,0.144676,0.145956,0.884604
20,0,0.000000,0.000000,0.000000
20,1,0.139012,0.140306,0.931379
20,2,0.264416,0.266878,0.931379
20,3,0.363937,0.367327,0.931379
20,4,0.427834,0.431818,0.931379
20,5,0.449851,0.454041,0.931379
20,6,0.427834,0.431818,0.931379
20,7,0.363937,0.367327,0.931379
20,8,0.264416,0.266878,0.931379
20,9,0.139012,0.140306,0.931379
21,0,0.000000,0.000000,0.000000
21,1,0.133569,0.134875,0.978175
21,2,0.254063,0.256548,0.978175
21,3,0.349687,0.353108,0.978175
21,4,0.411082,0.415103,0.978175
21,5,0.432237,0.436465,0.978175
21,6,0.411082,0.415103,0.978175
21,7,0.349687,0.353108,0.978175
21,8,0.254063,0.256548,0.978175
21,9,0.133569,0.134875,0.978175
22,0,0.000000,0.000000,0.000000
22,1,0.128339,0.129654,1.024992
22,2,0.244115,0.246617,1.024992
22,3,0.335995,0.339439,1.024992
22,4,0.394986,0.399035,1.024992
22,5,0.415313,0.419570,1.024992
22,6,0.394986,0.399035,1.024992
22,7,0.335995,0.339439,1.024992
22,8,0.244115,0.246617,1.024992
22,9,0.128339,0.129654,1.024992
23,0,0.000000,0.000000,0.000000
23,1,0.123314,0.124635,1.071832
23,2,0.234557,0.237071,1.071832
23,3,0.322839,0.326300,1.071832
23,4,0.379520,0.383588,1.071832
23,5,0.399051,0.403329,1.071832
23,6,0.379520,0.383588,1.071832
23,7,0.322839,0.326300,1.071832
23,8,0.234557,0.237071,1.071832
23,9,0.123314,0.124635,1.071832
24,0,0.000000,0.000000,0.000000
24,1,0.118485,0.119811,1.118693
24,2,0.225373,0.227894,1.118693
24,3,0.310199,0.313669,1.118693
24,4,0.364660,0.368740,1.118693
24,5,0.383427,0.387716,1.118693
24,6,0.364660,0.368740,1.118693
24,7,0.310199,0.313669,1.118693
24,8,0.225373,0.227894,1.118693
24,9,0.118485,0.119811,1.118693
25,0,0.000000,0.000000,0.000000
25,1,0.113846,0.115173,1.165576
25,2,0.216548,0.219072,1.165576
25,3,0.298053,0.301527,1.165576
25,4,0.350382,0.354466,1.165576
25,5,0.368414,0.372708,1.165576
25,6,0.350382,0.354466,1.165576
25,7,0.298053,0.301527,1.165576
25,8,0.216548,0.219072,1.165576
25,9,0.113846,0.115173,1.165576
26,0,0.000000,0.000000,0.000000
26,1,0.109388,0.110715,1.212480
26,2,0.208069,0.210592,1.212480
26,3,0.286383,0.289855,1.212480
26,4,0.336663,0.340745,1.212480
26,5,0.353989,0.358281,1.212480
26,6,0.336663,0.340745,1.212480
26,7,0.286383,0.289855,1.212480
26,8,0.208069,0.210592,1.212480
26,9,0.109388,0.110715,1.212480
27,0,0.000000,0.000000,0.000000
27,1,0.105105,0.106429,1.259406
27,2,0.199922,0.202440,1.259406
27,3,0.275169,0.278635,1.259406
27,4,0.323481,0.327555,1.259406
27,5,0.340128,0.344412,1.259406
27,6,0.323481,0.327555,1.259406
27,7,0.275169,0.278635,1.259406
27,8,0.199922,0.202440,1.259406
27,9,0.105105,0.106429,1.259406
28,0,0.000000,0.000000,0.000000
28,1,0.100990,0.102309,1.306354
28,2,0.192094,0.194604,1.306354
28,3,0.264395,0.267849,1.306354
28,4,0.310815,0.314876,1.306354
28,5,0.326811,0.331080,1.306354
28,6,0.310815,0.314876,1.306354
28,7,0.264395,0.267849,1.306354
28,8,0.192094,0.194604,1.306354
28,9,0.100990,0.102309,1.306354
29,0,0.000000,0.000000,0.000000
29,1,0.097036,0.098349,1.353324
29,2,0.184573,0.187071,1.353324
29,3,0.254043,0.257481,1.353324
29,4,0.298645,0.302687,1.353324
29,5,0.314014,0.318264,1.353324
29,6,0.298645,0.302687,1.353324
29,7,0.254043,0.257481,1.353324
29,8,0.184573,0.187071,1.353324
29,9,0.097036,0.098349,1.353324
30,0,0.000000,0.000000,0.000000
30,1,0.093236,0.094542,1.400316
30,2,0.177346,0.179829,1.400316
30,3,0.244096,0.247514,1.400316
30,4,0.286952,0.290970,1.400316
30,5,0.301719,0.305944,1.400316
30,6,0.286952,0.290970,1.400316
30,7,0.244096,0.247514,1.400316
30,8,0.177346,0.179829,1.400316
30,9,0.093236,0.094542,1.400316
31,0,0.000000,0.000000,0.000000
31,1,0.089586,0.090882,1.447329
31,2,0.170402,0.172868,1.447329
31,3,0.234538,0.237933,1.447329
31,4,0.275716,0.279707,1.447329
31,5,0.289905,0.294101,1.447329
31,6,0.275716,0.279707,1.447329
31,7,0.234538,0.237933,1.447329
31,8,0.170402,0.172868,1.447329
31,9,0.089586,0.090882,1.447329
32,0,0.000000,0.000000,0.000000
32,1,0.086078,0.087364,1.494364
32,2,0.163730,0.166177,1.494364
32,3,0.225355,0.228723,1.494364
32,4,0.264921,0.268880,1.494364
32,5,0.278554,0.282717,1.494364
32,6,0.264921,0.268880,1.494364
32,7,0.225355,0.228723,1.494364
32,8,0.163730,0.166177,1.494364
32,9,0.086078,0.087364,1.494364
33,0,0.000000,0.000000,0.000000
33,1,0.082708,0.083983,1.541421
33,2,0.157319,0.159744,1.541421
33,3,0.216531,0.219869,1.541421
33,4,0.254548,0.258472,1.541421
33,5,0.267648,0.271773,1.541421
33,6,0.254548,0.258472,1.541421
33,7,0.216531,0.219869,1.541421
33,8,0.157319,0.159744,1.541421
33,9,0.082708,0.083983,1.541421
34,0,0.000000,0.000000,0.000000
34,1,0.079469,0.080732,1.588500
34,2,0.151159,0.153561,1.588500
34,3,0.208053,0.211358,1.588500
34,4,0.244581,0.248466,1.588500
34,5,0.257168,0.261253,1.588500
34,6,0.244581,0.248466,1.588500
34,7,0.208053,0.211358,1.588500
34,8,0.151159,0.153561,1.588500
34,9,0.079469,0.080732,1.588500
35,0,0.000000,0.000000,0.000000
35,1,0.076358,0.077607,1.635601
35,2,0.145241,0.147616,1.635601
35,3,0.199907,0.203177,1.635601
35,4,0.235005,0.238848,1.635601
35,5,0.247098,0.251140,1.635601
35,6,0.235005,0.238848,1.635601
35,7,0.199907,0.203177,1.635601
35,8,0.145241,0.147616,1.635601
35,9,0.076358,0.077607,1.635601
36,0,0.000000,0.000000,0.000000
36,1,0.073368,0.074602,1.682723
36,2,0.139554,0.141902,1.682723
36,3,0.192080,0.195312,1.682723
36,4,0.225803,0.229603,1.682723
36,5,0.237423,0.241419,1.682723
36,6,0.225803,0.229603,1.682723
36,7,0.192080,0.195312,1.682723
36,8,0.139554,0.141902,1.682723
36,9,0.073368,0.074602,1.682723
37,0,0.000000,0.000000,0.000000
37,1,0.070495,0.071715,1.729868
37,2,0.134090,0.136409,1.729868
37,3,0.184559,0.187751,1.729868
37,4,0.216962,0.220715,1.729868
37,5,0.228127,0.232073,1.729868
37,6,0.216962,0.220715,1.729868
37,7,0.184559,0.187751,1.729868
37,8,0.134090,0.136409,1.729868
37,9,0.070495,0.071715,1.729868
38,0,0.000000,0.000000,0.000000
38,1,0.067735,0.068939,1.777034
38,2,0.128840,0.131129,1.777034
38,3,0.177332,0.180484,1.777034
38,4,0.208467,0.212171,1.777034
38,5,0.219195,0.223090,1.777034
38,6,0.208467,0.212171,1.777034
38,7,0.177332,0.180484,1.777034
38,8,0.128840,0.131129,1.777034
38,9,0.067735,0.068939,1.777034
39,0,0.000000,0.000000,0.000000
39,1,0.065083,0.066270,1.824222
39,2,0.123795,0.126053,1.824222
39,3,0.170389,0.173497,1.824222
39,4,0.200304,0.203958,1.824222
39,5,0.210612,0.214454,1.824222
39,6,0.200304,0.203958,1.824222
39,7,0.170389,0.173497,1.824222
39,8,0.123795,0.126053,1.824222
39,9,0.065083,0.066270,1.824222
40,0,0.000000,0.000000,0.000000
40,1,0.062534,0.063705,1.871432
40,2,0.118948,0.121174,1.871432
40,3,0.163717,0.166781,1.871432
40,4,0.192461,0.196063,1.871432
40,5,0.202366,0.206153,1.871432
40,6,0.192461,0.196063,1.871432
40,7,0.163717,0.166781,1.871432
40,8,0.118948,0.121174,1.871432
40,9,0.062534,0.063705,1.871432
41,0,0.000000,0.000000,0.000000
41,1,0.060086,0.061239,1.918664
41,2,0.114290,0.116483,1.918664
41,3,0.157307,0.160325,1.918664
41,4,0.184926,0.188474,1.918664
41,5,0.194442,0.198173,1.918664
41,6,0.184926,0.188474,1.918664
41,7,0.157307,0.160325,1.918664
41,8,0.114290,0.116483,1.918664
41,9,0.060086,0.061239,1.918664
42,0,0.000000,0.000000,0.000000
42,1,0.057733,0.058868,1.965917
42,2,0.109815,0.111974,1.965917
42,3,0.151148,0.154119,1.965917
42,4,0.177685,0.181178,1.965917
42,5,0.186829,0.190502,1.965917
42,6,0.177685,0.181178,1.965917
42,7,0.151148,0.154119,1.965917
42,8,0.109815,0.111974,1.965917
42,9,0.057733,0.058868,1.965917
43,0,0.000000,0.000000,0.000000
43,1,0.055473,0.056590,2.013193
43,2,0.105515,0.107640,2.013193
43,3,0.145230,0.148153,2.013193
43,4,0.170728,0.174165,2.013193
43,5,0.179514,0.183128,2.013193
43,6,0.170728,0.174165,2.013193
43,7,0.145230,0.148153,2.013193
43,8,0.105515,0.107640,2.013193
43,9,0.055473,0.056590,2.013193
44,0,0.000000,0.000000,0.000000
44,1,0.053301,0.054399,2.060491
44,2,0.101384,0.103473,2.060491
44,3,0.139543,0.142418,2.060491
44,4,0.164043,0.167423,2.060491
44,5,0.172485,0.176039,2.060491
44,6,0.164043,0.167423,2.060491
44,7,0.139543,0.142418,2.060491
44,8,0.101384,0.103473,2.060491
44,9,0.053301,0.054399,2.060491
45,0,0.000000,0.000000,0.000000
45,1,0.051214,0.052293,2.107810
45,2,0.097414,0.099468,2.107810
45,3,0.134079,0.136906,2.107810
45,4,0.157620,0.160942,2.107810
45,5,0.165731,0.169225,2.107810
45,6,0.157620,0.160942,2.107810
45,7,0.134079,0.136906,2.107810
45,8,0.097414,0.099468,2.107810
45,9,0.051214,0.052293,2.107810
46,0,0.000000,0.000000,0.000000
46,1,0.049209,0.050269,2.155152
46,2,0.093600,0.095617,2.155152
46,3,0.128830,0.131606,2.155152
46,4,0.151448,0.154712,2.155152
46,5,0.159242,0.162674,2.155152
46,6,0.151448,0.154712,2.155152
46,7,0.128830,0.131606,2.155152
46,8,0.093600,0.095617,2.155152
46,9,0.049209,0.050269,2.155152
47,0,0.000000,0.000000,0.000000
47,1,0.047282,0.048323,2.202515
47,2,0.089935,0.091916,2.202515
47,3,0.123785,0.126512,2.202515
47,4,0.145518,0.148723,2.202515
47,5,0.153007,0.156377,2.202515
47,6,0.145518,0.148723,2.202515
47,7,0.123785,0.126512,2.202515
47,8,0.089935,0.091916,2.202515
47,9,0.047282,0.048323,2.202515
48,0,0.000000,0.000000,0.000000
48,1,0.045430,0.046453,2.249900
48,2,0.086414,0.088358,2.249900
48,3,0.118938,0.121614,2.249900
48,4,0.139821,0.142966,2.249900
48,5,0.147016,0.150324,2.249900
48,6,0.139821,0.142966,2.249900
48,7,0.118938,0.121614,2.249900
48,8,0.086414,0.088358,2.249900
48,9,0.045430,0.046453,2.249900
49,0,0.000000,0.000000,0.000000
49,1,0.043652,0.044654,2.297308
49,2,0.083030,0.084938,2.297308
49,3,0.114281,0.116907,2.297308
49,4,0.134346,0.137432,2.297308
49,5,0.141260,0.144505,2.297308
49,6,0.134346,0.137432,2.297308
49,7,0.114281,0.116907,2.297308
49,8,0.083030,0.084938,2.297308
49,9,0.043652,0.044654,2.297308
50,0,0.000000,0.000000,0.000000
50,1,0.041942,0.042926,2.344737
50,2,0.079779,0.081650,2.344737
50,3,0.109807,0.112381,2.344737
50,4,0.129086,0.132112,2.344737
50,5,0.135729,0.138911,2.344737
50,6,0.129086,0.132112,2.344737
50,7,0.109807,0.112381,2.344737
50,8,0.079779,0.081650,2.344737
50,9,0.041942,0.042926,2.344737
51,0,0.000000,0.000000,0.000000
51,1,0.040300,0.041264,2.392188
51,2,0.076656,0.078489,2.392188
51,3,0.105507,0.108031,2.392188
51,4,0.124031,0.126998,2.392188
51,5,0.130414,0.133534,2.392188
51,6,0.124031,0.126998,2.392188
51,7,0.105507,0.108031,2.392188
51,8,0.076656,0.078489,2.392188
51,9,0.040300,0.041264,2.392188
52,0,0.000000,0.000000,0.000000
52,1,0.038722,0.039667,2.439661
52,2,0.073654,0.075451,2.439661
52,3,0.101376,0.103849,2.439661
52,4,0.119175,0.122082,2.439661
52,5,0.125308,0.128365,2.439661
52,6,0.119175,0.122082,2.439661
52,7,0.101376,0.103849,2.439661
52,8,0.073654,0.075451,2.439661
52,9,0.038722,0.039667,2.439661
53,0,0.000000,0.000000,0.000000
53,1,0.037206,0.038131,2.487157
53,2,0.070770,0.072530,2.487157
53,3,0.097407,0.099830,2.487157
53,4,0.114509,0.117357,2.487157
53,5,0.120401,0.123396,2.487157
53,6,0.114509,0.117357,2.487157
53,7,0.097407,0.099830,2.487157
53,8,0.070770,0.072530,2.487157
53,9,0.037206,0.038131,2.487157
54,0,0.000000,0.000000,0.000000
54,1,0.035749,0.036655,2.534674
54,2,0.067999,0.069723,2.534674
54,3,0.093593,0.095965,2.534674
54,4,0.110025,0.112814,2.534674
54,5,0.115687,0.118619,2.534674
54,6,0.110025,0.112814,2.534674
54,7,0.093593,0.095965,2.534674
54,8,0.067999,0.069723,2.534674
54,9,0.035749,0.036655,2.534674
55,0,0.000000,0.000000,0.000000
55,1,0.034350,0.035237,2.582213
55,2,0.065337,0.067024,2.582213
55,3,0.089928,0.092250,2.582213
55,4,0.105717,0.108447,2.582213
55,5,0.111157,0.114028,2.582213
55,6,0.105717,0.108447,2.582213
55,7,0.089928,0.092250,2.582213
55,8,0.065337,0.067024,2.582213
55,9,0.034350,0.035237,2.582213
56,0,0.000000,0.000000,0.000000
56,1,0.033005,0.033873,2.629775
56,2,0.062778,0.064429,2.629775
56,3,0.086407,0.088679,2.629775
56,4,0.101578,0.104249,2.629775
56,5,0.106805,0.109614,2.629775
56,6,0.101578,0.104249,2.629775
56,7,0.086407,0.088679,2.629775
56,8,0.062778,0.064429,2.629775
56,9,0.033005,0.033873,2.629775
57,0,0.000000,0.000000,0.000000
57,1,0.031712,0.032561,2.677358
57,2,0.060320,0.061935,2.677358
57,3,0.083024,0.085247,2.677358
57,4,0.097600,0.100214,2.677358
57,5,0.102623,0.105371,2.677358
57,6,0.097600,0.100214,2.677358
57,7,0.083024,0.085247,2.677358
57,8,0.060320,0.061935,2.677358
57,9,0.031712,0.032561,2.677358
58,0,0.000000,0.000000,0.000000
58,1,0.030471,0.031301,2.724963
58,2,0.057959,0.059538,2.724963
58,3,0.079773,0.081947,2.724963
58,4,0.093779,0.096334,2.724963
58,5,0.098605,0.101292,2.724963
58,6,0.093779,0.096334,2.724963
58,7,0.079773,0.081947,2.724963
58,8,0.057959,0.059538,2.724963
58,9,0.030471,0.031301,2.724963
59,0,0.000000,0.000000,0.000000
59,1,0.029278,0.030089,2.772591
59,2,0.055689,0.057233,2.772591
59,3,0.076650,0.078775,2.772591
59,4,0.090107,0.092605,2.772591
59,5,0.094744,0.097371,2.772591
59,6,0.090107,0.092605,2.772591
59,7,0.076650,0.078775,2.772591
59,8,0.055689,0.057233,2.772591
59,9,0.029278,0.030089,2.772591
60,0,0.000000,0.000000,0.000000
60,1,0.028131,0.028925,2.820241
60,2,0.053509,0.055018,2.820241
60,3,0.073648,0.075725,2.820241
60,4,0.086579,0.089021,2.820241
60,5,0.091034,0.093602,2.820241
60,6,0.086579,0.089021,2.820241
60,7,0.073648,0.075725,2.820241
60,8,0.053509,0.055018,2.820241
60,9,0.028131,0.028925,2.820241
61,0,0.000000,0.000000,0.000000
61,1,0.027030,0.027805,2.867912
61,2,0.051414,0.052888,2.867912
61,3,0.070765,0.072794,2.867912
61,4,0.083189,0.085575,2.867912
61,5,0.087470,0.089979,2.867912
61,6,0.083189,0.085575,2.867912
61,7,0.070765,0.072794,2.867912
61,8,0.051414,0.052888,2.867912
61,9,0.027030,0.027805,2.867912
62,0,0.000000,0.000000,0.000000
62,1,0.025971,0.026729,2.915606
62,2,0.049401,0.050841,2.915606
62,3,0.067994,0.069976,2.915606
62,4,0.079932,0.082262,2.915606
62,5,0.084045,0.086496,2.915606
62,6,0.079932,0.082262,2.915606
62,7,0.067994,0.069976,2.915606
62,8,0.049401,0.050841,2.915606
62,9,0.025971,0.026729,2.915606
63,0,0.000000,0.000000,0.000000
63,1,0.024954,0.025694,2.963322
63,2,0.047466,0.048873,2.963322
63,3,0.065332,0.067268,2.963322
63,4,0.076802,0.079078,2.963322
63,5,0.080754,0.083147,2.963322
63,6,0.076802,0.079078,2.963322
63,7,0.065332,0.067268,2.963322
63,8,0.047466,0.048873,2.963322
63,9,0.024954,0.025694,2.963322
64,0,0.000000,0.000000,0.000000
64,1,0.023977,0.024699,3.011060
64,2,0.045608,0.046981,3.011060
64,3,0.062774,0.064664,3.011060
64,4,0.073795,0.076017,3.011060
64,5,0.077592,0.079929,3.011060
64,6,0.073795,0.076017,3.011060
64,7,0.062774,0.064664,3.011060
