n,j,u[n][j],exact,error
15,2,0.330381,0.325117,1.593280
15,3,0.454730,0.447485,1.593280
15,4,0.534568,0.526051,1.593280
15,5,0.562078,0.553122,1.593280
15,6,0.534568,0.526051,1.593280
15,7,0.454730,0.447485,1.593280
15,8,0.330381,0.325117,1.593280
15,9,0.173692,0.170924,1.593280
15,10,0.000000,0.000000,0.000000
16,0,0.000000,0.000000,0.000000
16,1,0.167147,0.164308,1.698592
16,2,0.317932,0.312532,1.698592
16,3,0.437596,0.430163,1.698592
16,4,0.514425,0.505687,1.698592
16,5,0.540899,0.531711,1.698592
16,6,0.514425,0.505687,1.698592
16,7,0.437596,0.430163,1.698592
16,8,0.317932,0.312532,1.698592
16,9,0.167147,0.164308,1.698592
16,10,0.000000,0.000000,0.000000
17,0,0.000000,0.000000,0.000000
17,1,0.160849,0.157948,1.803791
17,2,0.305953,0.300434,1.803791
17,3,0.421108,0.413512,1.803791
17,4,0.495042,0.486113,1.803791
17,5,0.520518,0.511129,1.803791
17,6,0.495042,0.486113,1.803791
17,7,0.421108,0.413512,1.803791
17,8,0.305953,0.300434,1.803791
17,9,0.160849,0.157948,1.803791
17,10,0.000000,0.000000,0.000000
18,0,0.000000,0.000000,0.000000
18,1,0.154788,0.151834,1.908877
18,2,0.294425,0.288805,1.908877
18,3,0.405241,0.397505,1.908877
18,4,0.476389,0.467296,1.908877
18,5,0.500905,0.491344,1.908877
18,6,0.476389,0.467296,1.908877
18,7,0.405241,0.397505,1.908877
18,8,0.294425,0.288805,1.908877
18,9,0.154788,0.151834,1.908877
18,10,0.000000,0.000000,0.000000
19,0,0.000000,0.000000,0.000000
19,1,0.148956,0.145956,2.013851
19,2,0.283331,0.277625,2.013851
19,3,0.389972,0.382118,2.013851
19,4,0.458439,0.449207,2.013851
19,5,0.482031,0.472324,2.013851
19,6,0.458439,0.449207,2.013851
19,7,0.389972,0.382118,2.013851
19,8,0.283331,0.277625,2.013851
19,9,0.148956,0.145956,2.013851
19,10,0.000000,0.000000,0.000000
20,0,0.000000,0.000000,0.000000
20,1,0.143343,0.140306,2.118713
20,2,0.272655,0.266878,2.118713
20,3,0.375278,0.367327,2.118713
20,4,0.441165,0.431818,2.118713
20,5,0.463869,0.454041,2.118713
20,6,0.441165,0.431818,2.118713
20,7,0.375278,0.367327,2.118713
20,8,0.272655,0.266878,2.118713
20,9,0.143343,0.140306,2.118713
20,10,0.000000,0.000000,0.000000
21,0,0.000000,0.000000,0.000000
21,1,0.137942,0.134875,2.223462
21,2,0.262382,0.256548,2.223462
21,3,0.361137,0.353108,2.223462
21,4,0.424543,0.415103,2.223462
21,5,0.446390,0.436465,2.223462
21,6,0.424543,0.415103,2.223462
21,7,0.361137,0.353108,2.223462
21,8,0.262382,0.256548,2.223462
21,9,0.137942,0.134875,2.223462
21,10,0.000000,0.000000,0.000000
22,0,0.000000,0.000000,0.000000
22,1,0.132745,0.129654,2.328099
22,2,0.252495,0.246617,2.328099
22,3,0.347530,0.339439,2.328099
22,4,0.408546,0.399035,2.328099
22,5,0.429571,0.419570,2.328099
22,6,0.408546,0.399035,2.328099
22,7,0.347530,0.339439,2.328099
22,8,0.252495,0.246617,2.328099
22,9,0.132745,0.129654,2.328099
22,10,0.000000,0.000000,0.000000
23,0,0.000000,0.000000,0.000000
23,1,0.127743,0.124635,2.432624
23,2,0.242981,0.237071,2.432624
23,3,0.334435,0.326300,2.432624
23,4,0.393152,0.383588,2.432624
23,5,0.413385,0.403329,2.432624
23,6,0.393152,0.383588,2.432624
23,7,0.334435,0.326300,2.432624
23,8,0.242981,0.237071,2.432624
23,9,0.127743,0.124635,2.432624
23,10,0.000000,0.000000,0.000000
24,0,0.000000,0.000000,0.000000
24,1,0.122930,0.119811,2.537038
24,2,0.233826,0.227894,2.537038
24,3,0.321834,0.313669,2.537038
24,4,0.378338,0.368740,2.537038
24,5,0.397809,0.387716,2.537038
24,6,0.378338,0.368740,2.537038
24,7,0.321834,0.313669,2.537038
24,8,0.233826,0.227894,2.537038
24,9,0.122930,0.119811,2.537038
24,10,0.000000,0.000000,0.000000
25,0,0.000000,0.000000,0.000000
25,1,0.118298,0.115173,2.641339
25,2,0.225016,0.219072,2.641339
25,3,0.309707,0.301527,2.641339
25,4,0.364083,0.354466,2.641339
25,5,0.382819,0.372708,2.641339
25,6,0.364083,0.354466,2.641339
25,7,0.309707,0.301527,2.641339
25,8,0.225016,0.219072,2.641339
25,9,0.118298,0.115173,2.641339
25,10,0.000000,0.000000,0.000000
26,0,0.000000,0.000000,0.000000
26,1,0.113840,0.110715,2.745529
26,2,0.216537,0.210592,2.745529
26,3,0.298038,0.289855,2.745529
26,4,0.350364,0.340745,2.745529
26,5,0.368395,0.358281,2.745529
26,6,0.350364,0.340745,2.745529
26,7,0.298038,0.289855,2.745529
26,8,0.216537,0.210592,2.745529
26,9,0.113840,0.110715,2.745529
26,10,0.000000,0.000000,0.000000
27,0,0.000000,0.000000,0.000000
27,1,0.109551,0.106429,2.849608
27,2,0.208378,0.202440,2.849608
27,3,0.286808,0.278635,2.849608
27,4,0.337163,0.327555,2.849608
27,5,0.354514,0.344412,2.849608
27,6,0.337163,0.327555,2.849608
27,7,0.286808,0.278635,2.849608
27,8,0.208378,0.202440,2.849608
27,9,0.109551,0.106429,2.849608
27,10,0.000000,0.000000,0.000000
28,0,0.000000,0.000000,0.000000
28,1,0.105423,0.102309,2.953575
28,2,0.200527,0.194604,2.953575
28,3,0.276001,0.267849,2.953575
28,4,0.324459,0.314876,2.953575
28,5,0.341156,0.331080,2.953575
28,6,0.324459,0.314876,2.953575
28,7,0.276001,0.267849,2.953575
28,8,0.200527,0.194604,2.953575
28,9,0.105423,0.102309,2.953575
28,10,0.000000,0.000000,0.000000
29,0,0.000000,0.000000,0.000000
29,1,0.101451,0.098349,3.057431
29,2,0.192971,0.187071,3.057431
29,3,0.265602,0.257481,3.057431
29,4,0.312233,0.302687,3.057431
29,5,0.328302,0.318264,3.057431
29,6,0.312233,0.302687,3.057431
29,7,0.265602,0.257481,3.057431
29,8,0.192971,0.187071,3.057431
29,9,0.101451,0.098349,3.057431
29,10,0.000000,0.000000,0.000000
30,0,0.000000,0.000000,0.000000
30,1,0.097628,0.094542,3.161175
30,2,0.185700,0.179829,3.161175
30,3,0.255594,0.247514,3.161175
30,4,0.300469,0.290970,3.161175
30,5,0.315931,0.305944,3.161175
30,6,0.300469,0.290970,3.161175
30,7,0.255594,0.247514,3.161175
30,8,0.185700,0.179829,3.161175
30,9,0.097628,0.094542,3.161175
30,10,0.000000,0.000000,0.000000
31,0,0.000000,0.000000,0.000000
31,1,0.093950,0.090882,3.264809
31,2,0.178703,0.172868,3.264809
31,3,0.245963,0.237933,3.264809
31,4,0.289147,0.279707,3.264809
31,5,0.304027,0.294101,3.264809
31,6,0.289147,0.279707,3.264809
31,7,0.245963,0.237933,3.264809
31,8,0.178703,0.172868,3.264809
31,9,0.093950,0.090882,3.264809
31,10,0.000000,0.000000,0.000000
32,0,0.000000,0.000000,0.000000
32,1,0.090410,0.087364,3.368332
32,2,0.171969,0.166177,3.368332
32,3,0.236695,0.228723,3.368332
32,4,0.278252,0.268880,3.368332
32,5,0.292572,0.282717,3.368332
32,6,0.278252,0.268880,3.368332
32,7,0.236695,0.228723,3.368332
32,8,0.171969,0.166177,3.368332
32,9,0.090410,0.087364,3.368332
32,10,0.000000,0.000000,0.000000
33,0,0.000000,0.000000,0.000000
33,1,0.087003,0.083983,3.471744
33,2,0.165490,0.159744,3.471744
33,3,0.227777,0.219869,3.471744
33,4,0.267768,0.258472,3.471744
33,5,0.281548,0.271773,3.471744
33,6,0.267768,0.258472,3.471744
33,7,0.227777,0.219869,3.471744
33,8,0.165490,0.159744,3.471744
